order_id,customer_id,amount,status,created_at
ORD-1001,cust-1,120.50,PAID,2026-06-01 09:15:00
ORD-1002,cust-1,45.00,SHIPPED,2026-06-03 14:22:00
ORD-1003,cust-1,310.75,PAID,2026-06-10 11:05:00
ORD-1004,cust-1,60.20,CANCELLED,2026-06-18 16:40:00
ORD-1005,cust-2,89.99,PAID,2026-06-02 10:00:00
ORD-1006,cust-2,15.00,SHIPPED,2026-06-09 08:30:00
ORD-1007,cust-2,275.40,PAID,2026-06-21 13:10:00
ORD-1008,cust-3,199.99,PAID,2026-06-04 17:45:00
ORD-1009,cust-3,32.10,SHIPPED,2026-06-12 09:55:00
ORD-1010,cust-3,410.00,PAID,2026-06-25 12:20:00
ORD-1011,cust-4,55.60,PENDING,2026-06-05 15:00:00
ORD-1012,cust-4,120.00,PAID,2026-06-14 10:30:00
ORD-1013,cust-4,18.25,CANCELLED,2026-06-27 09:00:00
ORD-1014,cust-5,340.10,PAID,2026-06-06 11:40:00
ORD-1015,cust-5,72.50,SHIPPED,2026-06-19 14:15:00
ORD-1016,cust-6,95.00,PAID,2026-06-07 08:50:00
ORD-1017,cust-6,150.25,SHIPPED,2026-06-16 16:05:00
ORD-1018,cust-6,29.99,PENDING,2026-06-28 10:10:00
ORD-1019,cust-7,180.00,PAID,2026-07-01 09:30:00
ORD-1020,cust-7,64.75,SHIPPED,2026-07-08 13:45:00
ORD-1021,cust-8,220.40,PAID,2026-07-02 11:00:00
ORD-1022,cust-8,38.60,SHIPPED,2026-07-11 15:20:00
ORD-1023,cust-8,99.00,CANCELLED,2026-07-19 09:40:00
ORD-1024,cust-9,410.90,PAID,2026-07-03 10:15:00
ORD-1025,cust-9,27.30,SHIPPED,2026-07-14 12:50:00
ORD-1026,cust-9,133.20,PAID,2026-07-22 17:00:00
ORD-1027,cust-10,500.00,PAID,2026-07-05 09:00:00
ORD-1028,cust-10,44.10,SHIPPED,2026-07-15 14:30:00
ORD-1029,cust-10,76.80,PENDING,2026-07-24 11:10:00
ORD-1030,cust-10,210.00,PAID,2026-07-29 16:45:00
